Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
51148,Amravati Badnera Passenger,20:40:00,AMI,CR,15,Amravati,20:25:00,51147,BD,BADNERA JN,6
51149,Badnera Amravati Passenger,23:10:00,BD,CR,15,BADNERA JN,22:55:00,51148,AMI,Amravati,6
51150,Amravati Badnera Passenger,23:55:00,AMI,CR,15,Amravati,23:40:00,51149,BD,BADNERA JN,6
51181,Devlali Bhusaval Passenger,10:20:00,DVL,CR,30,DEVLALI,04:50:00,51182,BSL,BHUSAVAL JN,262
51182,Bhusaval Devlali Passenger,23:00:00,BSL,CR,45,BHUSAVAL JN,17:15:00,51181,DVL,DEVLALI,262
51187,BHUSAVAL - KATNI Passenger,03:25:00,BSL,CR,55,BHUSAVAL JN,09:30:00,51188,KTE,KATNI,657
51188,KATNI - BHUSAVAL Passenger,17:00:00,KTE,CR,40,KATNI,22:20:00,51187,BSL,BHUSAVAL JN,657
51190,ALLAHABAD - ITARSI Passenger,15:30:00,ALD,CR,30,ALLAHABAD JN,19:00:00,51189,ET,ITARSI JN,611
51197,Bhusaval Wardha Passenger,21:35:00,BSL,CR,5,BHUSAVAL JN,14:30:00,51198,WR,WARDHA JN,314
51198,Wardha Bhusaval Passenger,08:00:00,WR,CR,0,WARDHA JN,23:00:00,51197,BSL,BHUSAVAL JN,314
54316,Saharanpur Moradabad Passenger,09:20:00,SRE,NR,35,SAHARANPUR,03:45:00,54315,MB,MORADABAD,194
54391,ALIGARH -  MORADABAD PASSENGER,09:30:00,ALJN,NR,10,ALIGARH JN,04:20:00,54392,MB,MORADABAD,142
54396,NAJIBABAD - MORADABAD PASSENGER,09:15:00,NBD,NR,15,NAJIBABAD JN,04:00:00,54395,MB,MORADABAD,161
12434,Delhi H.Nizamuddin-Chennai Central Rajdhani Expres,20:15:00,NZM,NR,15,DELHI H NIZAMUDDIN,16:00:00,12433,MAS,CHENNAI CENTRAL,2176
50105,Diva Sawantwadi Passenger,17:20:00,DIVA,KR,0,DIVA,06:20:00,50106,SWV,SAWANTWADI ROAD,613
51153,Mumbai Bhusaval Passenger,17:50:00,CSTM,CR,30,MUMBAI CST,05:20:00,51154,BSL,BHUSAVAL JN,442
51154,Bhusaval Mumbai Passenger,20:15:00,BSL,CR,10,BHUSAVAL JN,07:05:00,51153,CSTM,MUMBAI CST,442
51157,Bhusaval Itarsi Passenger,05:55:00,BSL,CR,25,BHUSAVAL JN,20:30:00,51158,ET,ITARSI JN,322
51183,Bhusaval Amravati Passenger,12:30:00,BSL,WCR,0,BHUSAVAL JN,06:30:00,51284,AMI,Amravati,225
51254,Chhindwara Amla Passenger,20:10:00,CWA,WCR,10,Chhindwara Junction,17:00:00,51253,AMLA,AMLA JN,115
51255,Junnor Deo Chhindwara Passenger,16:00:00,JNO,WCR,30,Junnor Deo,14:30:00,51256,CWA,Chhindwara Junction,47
51256,Chhindwara Junnor Deo Passenger,14:00:00,CWA,WCR,30,Chhindwara Junction,12:30:00,51255,JNO,Junnor Deo,47
51259,Wardha Nagpur Passenger,20:15:00,WR,WCR,7,WARDHA JN,18:08:00,51260,NGP,NAGPUR,78
51260,Nagpur Wardha Passenger,09:35:00,NGP,WCR,35,NAGPUR,08:00:00,51259,WR,WARDHA JN,78
51262,Wardha Amravati Passenger,14:55:00,WR,WCR,10,WARDHA JN,09:45:00,51261,AMI,Amravati,101
51286,Nagpur Bhusaval Passenger,14:55:00,NGP,WCR,5,NAGPUR,04:50:00,51285,BSL,BHUSAVAL JN,392
51293,Nagpur Amla Passenger,22:35:00,NGP,CR,20,NAGPUR,18:15:00,51294,AMLA,AMLA JN,168
51294,Amla Nagpur Passenger,09:15:00,AMLA,CR,45,AMLA JN,04:30:00,51293,NGP,NAGPUR,168
51401,Pune Manmad Passenger(Via Daund),09:50:00,PUNE,CR,20,PUNE JN,00:30:00,51402,MMR,MANMAD JN,313
51402,Manmad-Pune Passenger(Via Daund),07:35:00,MMR,CR,40,MANMAD JN,21:55:00,51401,PUNE,PUNE JN,313
51405,Miraj- Castle Rock Passenger,23:15:00,MRJ,CR,50,MIRAJ JN,17:25:00,51406,CLR,CASTLE ROCK,213
51406,Castle Rock Miraj Passenge,11:30:00,CLR,CR,40,CASTLE ROCK,05:50:00,51405,MRJ,MIRAJ JN,213
51407,Miraj-Kolhapur Passenger,18:10:00,MRJ,CR,15,MIRAJ JN,16:55:00,51408,KOP,C SHAHU M RAJ KOLHAPUR TERM,47
51408,Kolhapur Miraj Passenger,22:55:00,KOP,CR,25,C SHAHU M RAJ KOLHAPUR TERM,21:30:00,51407,MRJ,MIRAJ JN,47
51417,Karjat Pune Passenger,18:15:00,KJT,CR,50,KARJAT,15:25:00,51418,PUNE,PUNE JN,91
51418,Pune Karjat Passenger,13:45:00,PUNE,CR,10,PUNE JN,10:35:00,51417,KJT,KARJAT,91
51419,Miraj Hubli Passenger,15:00:00,MRJ,CR,30,MIRAJ JN,07:30:00,51420,UBL,HUBLI JN,280
51420,Hubli Miraj Passenger,20:05:00,UBL,CR,15,HUBLI JN,12:50:00,51419,MRJ,MIRAJ JN,280
51423,Igatpuri Manmad Shuttle,20:35:00,IGP,CR,25,IGATPURI,18:10:00,51424,MMR,MANMAD JN,123
51424,Manmad Igatpuri Shuttle,17:40:00,MMR,CR,10,MANMAD JN,14:30:00,51423,IGP,IGATPURI,123
51425,ParliVaijnath-Miraj Passenger,18:20:00,PRLI,CR,10,PARLI VAIJNATH,07:10:00,51426,MRJ,MIRAJ JN,438
51426,Miraj-Parli Vaijnath Passenger,06:00:00,MRJ,CR,30,MIRAJ JN,20:30:00,51425,PRLI,PARLI VAIJNATH,438
51427,Miraj C Shahu Maharaj Passenger,15:15:00,MRJ,CR,20,MIRAJ JN,13:55:00,51428,KOP,C SHAHU M RAJ KOLHAPUR TERM,47
51428,C Shahu Maharaj Miraj Passenger,12:05:00,KOP,CR,15,C SHAHU M RAJ KOLHAPUR TERM,10:50:00,51427,MRJ,MIRAJ JN,47
51429,Sangli-Kolhapur Passenger,22:20:00,SLI,CR,45,SANGLI,20:35:00,51430,KOP,C SHAHU M RAJ KOLHAPUR TERM,54
51430,C Shahu Maharaj Sangli Passenger,20:15:00,KOP,CR,40,C SHAHU M RAJ KOLHAPUR TERM,18:35:00,51429,SLI,SANGLI,54
51431,Miraj -Londa Passenger,11:25:00,MRJ,CR,15,MIRAJ JN,06:10:00,51432,LD,LONDA JN,189
51432,Londa-Miraj Passenger,16:15:00,LD,CR,35,LONDA JN,11:40:00,51431,MRJ,MIRAJ JN,189
54394,Gajraula Moradabad Passenger,15:25:00,GJL,NR,25,GAJRAULA JN,13:00:00,54393,MB,MORADABAD,54
54397,Moradabad Sambahal Hatim Sarai Pass,18:00:00,SHTS,NR,45,Sambhal Hatim Sarai,15:15:00,54398,MB,MORADABAD,45
55302,KGM-MB PASS.,12:20:00,KGM,NER,50,KATHGODAM,07:30:00,55303,MB,MORADABAD,116
55304,KATHGODAM - MORADABAD Pass,22:35:00,KGM,NER,20,KATHGODAM,16:15:00,55303,MB,MORADABAD,131
12368,Vikramshila Express,12:25:00,ANVT,ER,45,ANAND VIHAR TRM,14:40:00,12367,BGP,BHAGALPUR,1206
51284,Amravati Bhusaval Passenger,19:00:00,AMI,WCR,0,Amravati,13:00:00,51183,BSL,BHUSAVAL JN,225
51409,Pune -Shree Chatrapati Shahu M(T) Kolhapur Pass,19:30:00,PUNE,CR,15,PUNE JN,09:15:00,51410,KOP,C SHAHU M RAJ KOLHAPUR TERM,318
51410,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,16:25:00,KOP,CR,40,C SHAHU M RAJ KOLHAPUR TERM,04:45:00,51409,PUNE,PUNE JN,318
51421,Pune-Nizamabad Pass,10:20:00,PUNE,CR,55,PUNE JN,14:25:00,51422,NZB,NIZAMABAD,771
51422,Nizamabad Pune Passenger,20:55:00,NZB,CR,15,NIZAMABAD,23:40:00,51421,PUNE,PUNE JN,759
51433,Nizamabad Pandharpur Passenger,05:10:00,NZB,CR,50,NIZAMABAD,13:20:00,51434,PVR,PANDHARPUR,533
51434,Pandharpur Nizamabad Passenger,23:05:00,PVR,CR,5,PANDHARPUR,06:00:00,51433,NZB,NIZAMABAD,533
51441,Satara C Shahu Maharaj Passenger,09:55:00,STR,CR,30,SATARA,05:25:00,51442,KOP,C SHAHU M RAJ KOLHAPUR TERM,181
51442,C Shahu Maharaj Pune Passenger,21:50:00,KOP,CR,0,C SHAHU M RAJ KOLHAPUR TERM,16:50:00,51441,STR,SATARA,181
51445,Pandharpur Miraj Passenger,23:55:00,PVR,CR,40,PANDHARPUR,21:15:00,51446,MRJ,MIRAJ JN,137
51446,Miraj Pandharpur Passenger,20:55:00,MRJ,CR,40,MIRAJ JN,18:15:00,51445,PVR,PANDHARPUR,137
51449,Pune Solapur Passenger,15:40:00,PUNE,CR,25,PUNE JN,08:15:00,51450,SUR,SOLAPUR JN,263
51450,Solapur Pune Passenger,06:15:00,SUR,CR,15,SOLAPUR JN,23:00:00,51449,PUNE,PUNE JN,264
51455,Pune Solapur Passenger,07:20:00,PUNE,CR,30,PUNE JN,22:50:00,51456,SUR,SOLAPUR JN,264
51456,Sholapur Pune Passenger,19:05:00,SUR,CR,55,SOLAPUR JN,12:10:00,51455,PUNE,PUNE JN,263
51461,Miraj Belgaum Passenger,13:15:00,MRJ,CR,25,MIRAJ JN,09:50:00,51462,BGM,BELGAUM,137
51462,Belgaum Miraj Passenger,08:55:00,BGM,CR,55,BELGAUM,06:00:00,51463,MRJ,MIRAJ JN,137
51463,Miraj Belgaum Passenger,22:30:00,MRJ,CR,30,MIRAJ JN,19:00:00,51462,BGM,BELGAUM,137
